,args/text_summary_wall_time,args/text_summary_step,args/text_summary_value,model_config/text_summary_wall_time,model_config/text_summary_step,model_config/text_summary_value,train/loss_wall_time,train/loss_step,train/loss_value,train/grad_norm_wall_time,train/grad_norm_step,train/grad_norm_value,train/learning_rate_wall_time,train/learning_rate_step,train/learning_rate_value,train/epoch_wall_time,train/epoch_step,train/epoch_value,eval/loss_wall_time,eval/loss_step,eval/loss_value,eval/bleu_wall_time,eval/bleu_step,eval/bleu_value,eval/brevity_penalty_wall_time,eval/brevity_penalty_step,eval/brevity_penalty_value,eval/length_ratio_wall_time,eval/length_ratio_step,eval/length_ratio_value,eval/translation_length_wall_time,eval/translation_length_step,eval/translation_length_value,eval/reference_length_wall_time,eval/reference_length_step,eval/reference_length_value,eval/f1 macro_wall_time,eval/f1 macro_step,eval/f1 macro_value,eval/f1 micro_wall_time,eval/f1 micro_step,eval/f1 micro_value,eval/f1 weighted_wall_time,eval/f1 weighted_step,eval/f1 weighted_value,eval/runtime_wall_time,eval/runtime_step,eval/runtime_value,eval/samples_per_second_wall_time,eval/samples_per_second_step,eval/samples_per_second_value,eval/steps_per_second_wall_time,eval/steps_per_second_step,eval/steps_per_second_value,train/train_runtime_wall_time,train/train_runtime_step,train/train_runtime_value,train/train_samples_per_second_wall_time,train/train_samples_per_second_step,train/train_samples_per_second_value,train/train_steps_per_second_wall_time,train/train_steps_per_second_step,train/train_steps_per_second_value,train/total_flos_wall_time,train/total_flos_step,train/total_flos_value,train/train_loss_wall_time,train/train_loss_step,train/train_loss_value
0,1716412428.42082,0.0,0.0,1716412428.421267,0.0,0.0,1716412562.0517366,50.0,0.32839998602867126,1716412562.0517614,50.0,0.08198565989732742,1716412562.051775,50.0,3.794642907450907e-06,1716412562.051786,50,0.029999999329447746,1716412998.197729,50.0,0.4019092619419098,1716412998.1977499,50.0,0.913707971572876,1716412998.1978552,50.0,1.0,1716412998.1978679,50.0,1.0191642045974731,1716412998.1978793,50.0,733678.0,1716412998.1978893,50.0,719882.0,1716412998.197899,50.0,0.0009075356065295637,1716412998.1979082,50.0,0.00019967374100815505,1716412998.1979308,50.0,9.752315236255527e-05,1716412998.197939,50.0,436.143310546875,1716412998.1979468,50.0,1.1030000448226929,1716412998.1980238,50.0,1.1030000448226929,1716543568.8326359,11538.0,131140.421875,1716543568.8326583,11538.0,0.08799999952316284,1716543568.8326702,11538.0,0.08799999952316284,1716543568.83268,11538.0,8.008381589031485e+17,1716543568.8327036,11538.0,0.029695799574255943
1,,,,,,,1716413134.554122,100.0,0.31520000100135803,1716413134.5541468,100.0,0.09251309186220169,1716413134.5541863,100.0,7.589285814901814e-06,1716412998.198184,50,0.029999999329447746,1716413564.9086883,100.0,0.3923647701740265,1716413564.908747,100.0,0.9157454967498779,1716413564.9088538,100.0,1.0,1716413564.908875,100.0,1.0180799961090088,1716413564.9088953,100.0,733320.0,1716413564.9089148,100.0,720297.0,1716413564.9089468,100.0,0.0009264228865504265,1716413564.9089646,100.0,0.00019967374100815505,1716413564.908982,100.0,9.951829997589812e-05,1716413564.9089997,100.0,430.35198974609375,1716413564.9090173,100.0,1.1180000305175781,1716413564.9091063,100.0,1.1180000305175781,,,,,,,,,,,,,,,
2,,,,,,,1716413696.2387364,150.0,0.32820001244544983,1716413696.2387679,150.0,0.3115076422691345,1716413696.2388043,150.0,1.138392872235272e-05,1716413134.5541975,100,0.05000000074505806,1716414126.5900471,150.0,0.3632860779762268,1716414126.5900784,150.0,0.920828104019165,1716414126.590191,150.0,1.0,1716414126.590232,150.0,1.017512559890747,1716414126.5902429,150.0,733422.0,1716414126.5902526,150.0,720799.0,1716414126.5902617,150.0,0.0009542302577756345,1716414126.5902712,150.0,0.00019967374100815505,1716414126.5902803,150.0,0.00010345265036448836,1716414126.5902894,150.0,430.3486022949219,1716414126.5902984,150.0,1.1180000305175781,1716414126.5905106,150.0,1.1180000305175781,,,,,,,,,,,,,,,
3,,,,,,,1716414259.6914222,200.0,0.2563999891281128,1716414259.691455,200.0,2.723371982574463,1716414259.6915128,200.0,1.5178571629803628e-05,1716413564.9092464,100,0.05000000074505806,1716414689.613173,200.0,0.30124524235725403,1716414689.6132011,200.0,0.9336794018745422,1716414689.613319,200.0,1.0,1716414689.6133475,200.0,1.0054751634597778,1716414689.6133597,200.0,729429.0,1716414689.6133823,200.0,725457.0,1716414689.6133919,200.0,0.001015082816593349,1716414689.613401,200.0,0.00019967374100815505,1716414689.6134093,200.0,0.00011124732554890215,1716414689.6134176,200.0,429.9189147949219,1716414689.6134262,200.0,1.11899995803833,1716414689.6135025,200.0,1.11899995803833,,,,,,,,,,,,,,,
4,,,,,,,1716414825.6082184,250.0,0.1826999932527542,1716414825.6082685,250.0,0.22297270596027374,1716414825.608302,250.0,1.8973214537254535e-05,1716413696.2388325,150,0.07999999821186066,1716415253.3527095,250.0,0.1846042275428772,1716415253.3527346,250.0,0.965499758720398,1716415253.3528867,250.0,1.0,1716415253.352931,250.0,1.00102698802948,1716415253.3529456,250.0,728147.0,1716415253.3529572,250.0,727400.0,1716415253.352968,250.0,0.00241292268037796,1716415253.352993,250.0,0.00019967374100815505,1716415253.3530025,250.0,0.00011442305549280718,1716415253.3530116,250.0,427.74169921875,1716415253.3530395,250.0,1.125,1716415253.3530486,250.0,1.125,,,,,,,,,,,,,,,
5,,,,,,,1716415380.833587,300.0,0.1687999963760376,1716415380.8336418,300.0,0.4661920666694641,1716415380.8336923,300.0,2.2616071873926558e-05,1716414126.5905375,150,0.07999999821186066,1716415808.757379,300.0,0.12585759162902832,1716415808.7573984,300.0,0.9806959629058838,1716415808.7574983,300.0,1.0,1716415808.757519,300.0,1.0022252798080444,1716415808.7575479,300.0,729158.0,1716415808.7575734,300.0,727539.0,1716415808.7575834,300.0,0.003367003286257386,1716415808.7575932,300.0,1.0891295460169204e-05,1716415808.7576025,300.0,1.0891295460169204e-05,1716415808.757612,300.0,427.9206848144531,1716415808.7576344,300.0,1.1239999532699585,1716415808.7576427,300.0,1.1239999532699585,,,,,,,,,,,,,,,
6,,,,,,,1716415938.28507,350.0,0.05810000002384186,1716415938.285096,350.0,0.4924730360507965,1716415938.2851322,350.0,2.6410714781377465e-05,1716414259.6915314,200,0.10000000149011612,1716416366.725172,350.0,0.10644747316837311,1716416366.7251916,350.0,0.9832882285118103,1716416366.7253225,350.0,1.0,1716416366.7253385,350.0,1.0009287595748901,1716416366.725351,350.0,728565.0,1716416366.725362,350.0,727889.0,1716416366.725373,350.0,0.005310304928570986,1716416366.7253835,350.0,1.8152159100282006e-05,1716416366.7253938,350.0,1.80930601345608e-05,1716416366.7254035,350.0,428.4372863769531,1716416366.7254133,350.0,1.1230000257492065,1716416366.7254357,350.0,1.1230000257492065,,,,,,,,,,,,,,,
7,,,,,,,1716416504.8011177,400.0,0.04179999977350235,1716416504.801158,400.0,0.16512975096702576,1716416504.8011954,400.0,3.020535768882837e-05,1716414689.6136138,200,0.10000000149011612,1716416932.774632,400.0,0.09646383672952652,1716416932.7746773,400.0,0.9854422807693481,1716416932.7747796,400.0,1.0,1716416932.7747931,400.0,1.0004972219467163,1716416932.7748048,400.0,728335.0,1716416932.7748146,400.0,727973.0,1716416932.7748244,400.0,0.005444645881652832,1716416932.774834,400.0,1.5731870007584803e-05,1716416932.7748432,400.0,1.5731870007584803e-05,1716416932.7748523,400.0,427.9707946777344,1716416932.7748616,400.0,1.1239999532699585,1716416932.774973,400.0,1.1239999532699585,,,,,,,,,,,,,,,
8,,,,,,,1716417057.109353,450.0,0.04399999976158142,1716417057.1094003,450.0,0.19772610068321228,1716417057.1094387,450.0,3.400000059627928e-05,1716414825.6083193,250,0.12999999523162842,1716417485.4200437,450.0,0.08731643110513687,1716417485.4200976,450.0,0.9847630858421326,1716417485.4202886,450.0,1.0,1716417485.4203162,450.0,1.0011845827102661,1716417485.420337,450.0,729355.0,1716417485.420354,450.0,728492.0,1716417485.42037,450.0,0.0,1716417485.4203894,450.0,0.0,1716417485.420406,450.0,0.0,1716417485.4204164,450.0,428.3078918457031,1716417485.420426,450.0,1.1230000257492065,1716417485.4204357,450.0,1.1230000257492065,,,,,,,,,,,,,,,
9,,,,,,,1716417614.6585503,500.0,0.08560000360012054,1716417614.6585758,500.0,0.22786346077919006,1716417614.658589,500.0,3.384977389941923e-05,1716415253.3531437,250,0.12999999523162842,1716418044.17725,500.0,0.07912005484104156,1716418044.177273,500.0,0.9863128066062927,1716418044.1775107,500.0,1.0,1716418044.177532,500.0,1.000867486000061,1716418044.177546,500.0,729124.0,1716418044.1775572,500.0,728492.0,1716418044.1775675,500.0,3.4493218663556036e-06,1716418044.1775773,500.0,1.9362301827641204e-05,1716418044.177587,500.0,1.9337629055371508e-05,1716418044.1775966,500.0,429.51611328125,1716418044.177606,500.0,1.1200000047683716,1716418044.1776156,500.0,1.1200000047683716,,,,,,,,,,,,,,,
